Library_Id	Quantification_post-Indexing_total
LIB030.A0117	7104000000
SYN001.A0101	532800000000
SYN002.A0101	1291200000000
SYN003.A0101	640320000000
SYN005.I0101	85728000000000
SYN006.I0101	65136000000000
SYN008.I0101	43728000000000
SYN009.I0101	2463840000000
SYN012.I0101	5731200000000
SYN013.I0101	3458880000000
SYN014.A0101	5505600000000
SYN014.C0101	237072000000000
SYN015.B0101	6163200000000
SYN015.D0101	2311200000000
SYN015.E0101	10252800000000
SYN015.F0101	1623360000000
SYN015.G0101	8044800000000
SYN015.H0101	2353440000000
SYN015.I0101	7272000000000
SYN016.I0101	13752000000000
SYN017.A0101	6052800000000
SYN017.B0101	10545600000000
SYN017.D0101	679200000000
SYN017.E0101	1515360000000
SYN017.F0101	856800000000
SYN017.G0101	726240000000
SYN018.C0101	1676640000000
SYN018.H0101	695040000000
SYN018.I0101	267840000000
SYN019.I0101	1233120000000
SYN021.I0101	2581440000000
SYN022.I0101	1579200000000
SYN023.I0101	11500800000000
SYN025.I0101	3735840000000
SYN026.I0101	4876800000000
SYN028.I0101	147888000000000